id,purpose,go_with,weather,time,viettel_no_0,viettel_no_1,viettel_no_2,to_hanoi,to_other,score
11156,Travel,Alone,Sunny,13:00,1,0,0,0,1,0
4297,Travel,Friends,Sunny,09:00,0,1,0,0,1,0
13301,Travel,Friends,Sunny,15:00,0,1,0,0,1,0
9920,Travel,Friends,Sunny,14:00,0,1,0,0,1,30
8424,Travel,Family,Sunny,10:00,0,1,0,0,1,0
6771,Travel,Family,Sunny,08:00,0,1,0,0,1,0
15308,Travel,Family,Sunny,14:00,1,0,0,0,1,29
14139,Travel,Family,Sunny,13:00,0,1,0,0,1,0
17824,Travel,Family,Sunny,16:00,0,1,0,0,1,25
16372,Visit,Alone,Sunny,15:00,1,0,0,1,0,0
1573,Visit,Alone,Sunny,16:00,0,1,0,0,1,0
11835,Work,Alone,Sunny,07:00,0,0,1,0,1,0
19253,Work,Alone,Sunny,06:00,0,1,0,0,1,32
10399,Work,Alone,Sunny,07:00,1,0,0,1,0,0
3502,Work,Alone,Sunny,07:00,0,1,0,0,1,0
3051,Travel,Alone,Sunny,14:00,1,0,0,0,1,13
17620,Travel,Friends,Sunny,09:00,1,0,0,0,1,0
9606,Travel,Friends,Sunny,14:00,0,1,0,0,1,0
15884,Travel,Friends,Sunny,15:00,0,1,0,0,1,15
7022,Travel,Friends,Sunny,11:00,0,1,0,0,1,0
17244,Visit,Alone,Sunny,15:00,1,0,0,1,0,0
13688,Work,Alone,Sunny,07:00,0,0,1,0,1,0
4979,Work,Alone,Sunny,07:00,1,0,0,1,0,0
14896,Work,Alone,Sunny,06:00,1,0,0,0,1,15
16583,Travel,Alone,Sunny,14:00,1,0,0,0,1,9
2492,Travel,Friends,Sunny,10:00,1,0,0,0,1,0
18157,Travel,Friends,Sunny,10:00,0,1,0,0,1,12
11738,Travel,Friends,Sunny,11:00,1,0,0,0,1,0
14840,Travel,Friends,Sunny,11:00,0,1,0,0,1,11
3838,Travel,Friends,Sunny,14:00,0,1,0,0,1,9
13931,Travel,Friends,Sunny,15:00,0,1,0,0,1,8
11761,Travel,Friends,Sunny,11:00,1,0,0,0,1,0
5723,Travel,Friends,Sunny,12:00,0,1,0,0,1,0
16237,Travel,Alone,Sunny,10:00,1,0,0,0,1,8
19985,Work,Alone,Sunny,07:00,1,0,0,1,0,0
5658,Travel,Alone,Sunny,11:00,1,0,0,0,1,0
