id,number_of_suggestions,number_of_plans,number_of_accept,number_of_accept_2,mobile_plan
1000.0,4,3,1.0,1,DATASILVER
1001.0,4,2,1.0,1,SOCIALMEDIA
1002.0,1,1,1.0,1,SOCIALMEDIAGOLD
1004.0,1,1,0.0,0,Unknown
1005.0,3,3,0.0,0,Unknown
1006.0,2,2,0.0,0,Unknown
1008.0,3,3,0.0,0,Unknown
1011.0,6,4,1.0,1,DATASILVER
1012.0,2,2,0.0,0,Unknown
1015.0,2,2,0.0,0,Unknown
1016.0,2,2,0.0,0,Unknown
1018.0,2,2,1.0,1,SOCIALMEDIA
1020.0,4,3,0.0,0,Unknown
1023.0,3,2,0.0,0,Unknown
1025.0,5,4,0.0,0,Unknown
1027.0,6,3,1.0,1,SOCIALMEDIA
1028.0,6,4,0.0,0,Unknown
1029.0,2,2,1.0,1,SOCIALMEDIA
1030.0,1,1,1.0,1,DATASILVER
1031.0,4,3,1.0,1,SOCIALMEDIAGOLD
1032.0,7,4,0.0,0,Unknown
1037.0,3,3,0.0,0,Unknown
1042.0,2,2,0.0,0,Unknown
1043.0,4,4,1.0,1,SOCIALMEDIA
1045.0,2,2,0.0,0,Unknown
1047.0,6,4,0.0,0,Unknown
1049.0,2,2,1.0,1,DATAGOLD
1050.0,4,3,0.0,0,Unknown
1051.0,4,4,0.0,0,Unknown
1055.0,5,3,0.0,0,Unknown
1056.0,2,2,1.0,1,DATASILVER
1057.0,3,2,0.0,0,Unknown
1058.0,3,3,0.0,0,Unknown
1059.0,3,3,0.0,0,Unknown
1062.0,2,2,1.0,1,DATAGOLD
1065.0,7,3,5.0,3,"DATACALL, SOCIALMEDIA, DATAGOLD"
1066.0,4,3,0.0,0,Unknown
1067.0,6,4,3.0,2,"DATASILVER, DATAGOLD"
1069.0,4,2,3.0,1,SOCIALMEDIA
1075.0,1,1,1.0,1,SOCIALMEDIA
1078.0,3,3,0.0,0,Unknown
1079.0,6,4,3.0,1,SOCIALMEDIAGOLD
1082.0,6,3,1.0,1,SOCIALMEDIAGOLD
1083.0,5,4,1.0,1,DATASILVER
1085.0,3,3,1.0,1,DATASILVER
1086.0,5,3,0.0,0,Unknown
1088.0,6,4,1.0,1,SOCIALMEDIA
1093.0,3,3,1.0,1,SOCIALMEDIA
1094.0,6,4,1.0,1,DATACALL
1096.0,4,4,1.0,1,DATASILVER
1098.0,4,3,2.0,1,SOCIALMEDIA
1099.0,3,1,1.0,1,DATACALL
1102.0,6,5,0.0,0,Unknown
1103.0,3,3,0.0,0,Unknown
1105.0,3,2,3.0,1,SOCIALMEDIAGOLD
1106.0,1,1,1.0,1,DATASILVER
1107.0,5,4,0.0,0,Unknown
1108.0,1,1,0.0,0,Unknown
1109.0,2,2,0.0,0,Unknown
1112.0,1,1,0.0,0,Unknown
1114.0,2,2,1.0,1,SOCIALMEDIA
1115.0,7,4,0.0,0,Unknown
1117.0,3,3,0.0,0,Unknown
1118.0,4,3,0.0,0,Unknown
1119.0,6,4,0.0,0,Unknown
1120.0,4,2,0.0,0,Unknown
1122.0,5,3,1.0,1,DATACALL
1123.0,4,2,0.0,0,Unknown
1124.0,4,3,1.0,1,DATACALL
1127.0,1,1,0.0,0,Unknown
1131.0,6,3,1.0,1,DATASILVER
1134.0,5,4,0.0,0,Unknown
1136.0,6,4,0.0,0,Unknown
1140.0,7,4,0.0,0,Unknown
1146.0,4,2,0.0,0,Unknown
1148.0,3,2,0.0,0,Unknown
1150.0,2,2,0.0,0,Unknown
1154.0,3,2,0.0,0,Unknown
1155.0,2,2,0.0,0,Unknown
1157.0,2,2,0.0,0,Unknown
1158.0,1,1,1.0,1,SOCIALMEDIAGOLD
1160.0,3,3,0.0,0,Unknown
1163.0,4,4,1.0,1,DATAGOLD
1164.0,5,5,1.0,1,SOCIALMEDIAGOLD
1165.0,4,2,0.0,0,Unknown
1167.0,6,4,1.0,1,DATAGOLD
1168.0,3,1,0.0,0,Unknown
1169.0,4,3,1.0,1,DATASILVER
1170.0,5,3,1.0,1,DATAGOLD
1171.0,1,1,1.0,1,DATASILVER
1172.0,5,4,0.0,0,Unknown
1174.0,2,1,2.0,1,SOCIALMEDIA
1176.0,1,1,0.0,0,Unknown
1177.0,1,1,1.0,1,SOCIALMEDIA
1178.0,3,2,1.0,1,SOCIALMEDIA
1180.0,2,2,1.0,1,DATASILVER
1181.0,6,3,0.0,0,Unknown
1182.0,1,1,0.0,0,Unknown
1184.0,1,1,0.0,0,Unknown
1187.0,5,4,0.0,0,Unknown
1188.0,4,4,1.0,1,SOCIALMEDIAGOLD
1189.0,4,3,1.0,1,DATAGOLD
1190.0,4,2,0.0,0,Unknown
1191.0,1,1,1.0,1,SOCIALMEDIAGOLD
1192.0,3,2,1.0,1,SOCIALMEDIAGOLD
1195.0,7,5,2.0,2,"SOCIALMEDIAGOLD, DATASILVER"
1196.0,4,4,0.0,0,Unknown
1199.0,6,4,0.0,0,Unknown
1200.0,6,4,1.0,1,SOCIALMEDIA
1202.0,1,1,0.0,0,Unknown
1203.0,6,4,0.0,0,Unknown
1204.0,4,3,1.0,1,SOCIALMEDIAGOLD
1207.0,4,3,0.0,0,Unknown
1208.0,1,1,0.0,0,Unknown
1209.0,4,3,0.0,0,Unknown
1211.0,5,4,2.0,1,SOCIALMEDIA
1212.0,5,4,0.0,0,Unknown
1213.0,5,4,1.0,1,DATAGOLD
1216.0,5,3,0.0,0,Unknown
1217.0,5,5,0.0,0,Unknown
1218.0,3,3,1.0,1,DATASILVER
1219.0,5,5,0.0,0,Unknown
1225.0,2,2,0.0,0,Unknown
1226.0,5,4,1.0,1,DATASILVER
1227.0,2,1,0.0,0,Unknown
1228.0,4,3,1.0,1,DATACALL
1229.0,5,4,1.0,1,SOCIALMEDIAGOLD
1230.0,3,3,1.0,1,SOCIALMEDIAGOLD
1231.0,1,1,0.0,0,Unknown
1232.0,2,2,1.0,1,SOCIALMEDIA
1233.0,2,2,0.0,0,Unknown
1234.0,3,3,1.0,1,DATACALL
1236.0,5,3,1.0,1,DATASILVER
1237.0,2,1,1.0,1,SOCIALMEDIA
1239.0,1,1,2.0,1,SOCIALMEDIAGOLD
1240.0,1,1,1.0,1,DATASILVER
1241.0,3,3,4.0,3,"DATAGOLD, DATASILVER, SOCIALMEDIAGOLD"
1242.0,5,5,0.0,0,Unknown
1245.0,2,2,1.0,1,SOCIALMEDIAGOLD
1246.0,3,2,0.0,0,Unknown
1247.0,3,2,1.0,1,SOCIALMEDIA
1248.0,3,2,1.0,1,SOCIALMEDIAGOLD
1250.0,3,3,0.0,0,Unknown
1251.0,4,4,0.0,0,Unknown
1252.0,3,2,0.0,0,Unknown
1253.0,2,2,0.0,0,Unknown
1254.0,3,2,1.0,1,DATASILVER
1255.0,3,2,0.0,0,Unknown
1257.0,2,2,0.0,0,Unknown
1258.0,5,4,1.0,1,SOCIALMEDIA
1260.0,3,3,1.0,1,DATASILVER
1263.0,4,3,0.0,0,Unknown
1265.0,3,2,0.0,0,Unknown
1266.0,4,3,0.0,0,Unknown
1267.0,3,3,1.0,1,DATASILVER
1268.0,6,4,3.0,1,DATASILVER
1272.0,4,4,2.0,2,"DATACALL, DATASILVER"
1273.0,3,2,2.0,1,SOCIALMEDIA
