id,purpose,go_with,weather,time,viettel_no_0,viettel_no_1,viettel_no_2,to_hanoi,to_other,score
11156,Travel,Al?!%one,&&!!Sunny,13:00,1,0,0,0,1,0
4297,Travel,F!ri?end%(s),Sun!~ny,9:00 AM,1,1,0,0,1,0
13301,Travel,Frie~nd(s),!&~S!unny,15:00,1,1,0,0,1,0
9920,Travel,?Friend(s),Su%n&ny,2:00 PM,1,1,0,0,1,30
8424,Travel,?Fa! mily,Sun%ny,10AM,1,1,0,0,1,0
6771,Travel,Fami~!ly,!%Sunny,8:00 AM,1,1,0,0,1,0
15308,Travel,Fami?ly,%S&unny,14:00,1,0,0,0,1,29
14139,Travel,Family,?S~u!nny,1:00 PM,1,1,0,0,1,0
17824,Travel,Fami ly,Sunny,16:00,1,1,0,0,1,25
16372,Visit,~~A!~lone,Sunn?y,3:00 PM,1,0,0,1,0,0
1573,Visit,A?lone,~%Sunny,4:00 PM,1,1,0,0,1,0
11835,Work,Alone,&!Sunny,7:00,1,1,1,0,1,0
19253,Work,Al~one,Sunny,6:00,1,1,0,0,1,32
10399,Work,A l? one,%%~S~unny,7:00 AM,1,0,0,1,0,0
3502,Work,A&lone,?~S&?unny,7:00 AM,1,1,0,0,1,0
3051,Travel,?A%&!lone,%?~Sunny,14:00,1,0,0,0,1,13
17620,Travel,Fr &iend~(s),!?~S?unny,9:00 AM,1,0,0,0,1,0
9606,Travel,Fr?i&%end(s),Sun%&ny,14:00,1,1,0,0,1,0
15884,Travel,?Fri&end?(s),?Sun?ny,15:00,1,1,0,0,1,15
7022,Travel,F~ri%end(s),&!~Sunny,11:00,1,1,0,0,1,0
17244,Visit, A%lone,Su%!nny,3:00 PM,1,0,0,1,0,0
13688,Work,&%Alone,%Sunny,7:00,1,1,1,0,1,0
4979,Work,A lone,Sun%!ny,7:00 AM,1,0,0,1,0,0
14896,Work,~% &Alone,&Sunny,6AM,1,0,0,0,1,15
16583,Travel,Al!one,Su?n%ny,2PM  ,1,0,0,0,1,9
2492,Travel,Fri?end(s),!Sun~ny,10AM ,1,0,0,0,1,0
18157,Travel,F&ri&end(s),S!unny,10:00,1,1,0,0,1,12
11738,Travel,F%riend(&s),Sunny,11AM ,1,0,0,0,1,0
14840,Travel,Friend&!?(s),~%?Sunny,11AM ,1,1,0,0,1,11
3838,Travel,Friend(s),Su!!nny,2:00 PM,1,1,0,0,1,9
13931,Travel,Friend(s),S%u~nny,3:00 PM,1,1,0,0,1,8
11761,Travel,Fr!i!end(s),Sunny,11:00,1,0,0,0,1,0
5723,Travel,Frien?d(s),&S!unny,12:00,1,1,0,0,1,0
16237,Travel,?~?~Alone,?&!Sunny,10AM,1,0,0,0,1,8
19985,Work,~ ? Alone,S&&%&unny,7:00,1,0,0,1,0,0
5658,Travel,Alone,%&S&%unny,11AM,1,0,0,0,1,0
9408,Travel,Friend(s),Sunn&y,10:00 AM,1,0,0,0,1,0
5989,Travel,Fr?iend&(s),%S~??unny,8:00,1,1,0,0,1,0
